market,category,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Agua mineralizada sin gas Glaciar bajo sodio 2 l. </span>","$ 169,88$ 226,50","$ 169,88c/u",2do al 50% exclusivo online,https://carrefourar.vtexassets.com/arquivos/ids/171445-170-170?v=1765381932&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Galletitas crackers Granix sin sal 3 x 185 g. </span>","$ 492,00",,,https://carrefourar.vtexassets.com/arquivos/ids/196573-170-170?v=1765382524&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Jamón cocido 200 g. BAJO PRECIO GARANTIZADO </span>","$ 502,00",,,https://carrefourar.vtexassets.com/arquivos/ids/250646-170-170?v=1765382577&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Ricotta entera García bajo sodio en sachet 500 g. </span>","$ 317,00",,,https://carrefourar.vtexassets.com/arquivos/ids/274934-170-170?v=1765382549&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Agua mineralizada con gas Glaciar bajo sodio 1.5 l. </span>","$ 110,00",,,https://carrefourar.vtexassets.com/arquivos/ids/171518-170-170?v=1765381932&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Queso crema entero San Ignacio 480 g. </span>","$ 561,00",,,https://carrefourar.vtexassets.com/arquivos/ids/192508-170-170?v=1765381880&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Fideos tirabuzones Matarazzo sin TACC 500 g. </span>","$ 398,00",,,https://carrefourar.vtexassets.com/arquivos/ids/175114-170-170?v=1765382007&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Fideos spaghetti Matarazzo 500 g. sin TACC </span>","$ 391,00",,,https://carrefourar.vtexassets.com/arquivos/ids/178932-170-170?v=1765382011&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Tostadas de arroz Carrefour clásicas 150 g. sin TACC </span>","$ 182,16$ 198,00","$ 182,16c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/183070-170-170?v=1765379902&width=170&height=170&aspect=true
Carrefour,seccion,ARG,"<span class=""vtex-product-summary-2-x-productBrand vtex-product-summary-2-x-brandName t-body"">Batata naranja Huella Natural x kg. </span>","$ 450,00",,,https://carrefourar.vtexassets.com/arquivos/ids/184366-170-170?v=1765382072&width=170&height=170&aspect=true
