market,category,subcategory,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada sin gas Glaciar bajo sodio 2 l. ," 225,33","$ 169,00c/u",2do al 50% Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/171445-170-170?v=1767618323&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada sin gas Glaciar bidón bajo sodio 6.3 l. ," 608,00","$ 456,00c/u",2do al 50% Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/171449-170-170?v=1767619175&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletitas crackers Granix sin sal 3 x 185 g. ,"$ 492,00",,,
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada sin gas Carrefour bajo sodio 2 l. ," 131,00","$ 117,90c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/171506-170-170?v=1767603639&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Tostaditas de arroz Crackines 120 g. sin TACC ,"$ 246,00",,,
Carrefour,Destacados,La Dietética,ARG,Mandarina nova Huella Natural x kg. ,"$ 222,00",,,
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada sin gas Glaciar bajo sodio 1.5 l. ,"$ 161,50",,,
Carrefour,Destacados,La Dietética,ARG,Jamón cocido 200 g. BAJO PRECIO GARANTIZADO ,"$ 492,00",,,
Carrefour,Destacados,La Dietética,ARG,Espinaca congelada Green Life 500 g. ,"$ 499,00",,,
Carrefour,Destacados,La Dietética,ARG,Banana Nacional x kg. ,"$ 289,00",,,
Carrefour,Destacados,La Dietética,ARG,Batata morada huella natural x kg ,"$ 59,00",,,
Carrefour,Destacados,La Dietética,ARG,Ricotta entera García bajo sodio en sachet 500 g. ,"$ 328,00",,,
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada con gas Glaciar bajo sodio 1.5 l. ,"$ 110,00",,,
Carrefour,Destacados,La Dietética,ARG,Azúcar Chango orgánico 1 kg. ,"$ 399,00",,,
Carrefour,Destacados,La Dietética,ARG,Queso crema entero San Ignacio 480 g. ,"$ 579,00",,,
Carrefour,Destacados,La Dietética,ARG,Fideos tirabuzones Matarazzo sin TACC 500 g. ,"$ 398,00",,,
Carrefour,Destacados,La Dietética,ARG,Kiwi Huella Natural x kg. ," 1.170,00","$ 899,00- 23% Off",,
Carrefour,Destacados,La Dietética,ARG,Polvo para hornear Pergola 50 g. sin TACC ,"$ 104,50",,,
Carrefour,Destacados,La Dietética,ARG,Harina de maiz Carrefour orgánico 500 g. ," 168,00","$ 156,24c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/193085-170-170?v=1767615164&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Esencia de vainilla Pergola 100 cc. Sin TACC ,"$ 139,50",,,
Carrefour,Destacados,La Dietética,ARG,Ajo en polvo Pergola 25 g. sin TACC ,"$ 79,10",,,
Carrefour,Destacados,La Dietética,ARG,Medallón de verdura Vegetalex 4 u. ,"$ 527,00",,,
Carrefour,Destacados,La Dietética,ARG,Aperitivo sin alcohol Carrefour serrano 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194441-170-170?v=1767614990&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Agua mineralizada sin gas Glaciar con tapa y pico deportivo bajo sodio 750 cc. ,"$ 176,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletas de arroz Crisppino queso y cibulette 50 g. sin TACC ,"$ 103,50",,,
Carrefour,Destacados,La Dietética,ARG,Galletita de arroz Crisppino queso 50 g. sin TACC ,"$ 103,50",,,
Carrefour,Destacados,La Dietética,ARG,Pera packhams Huella Natural x kg. ,"$ 398,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas dulces Cachafaz cacao y miel orgánicas 170 g. ,"$ 310,00",,,
Carrefour,Destacados,La Dietética,ARG,Premezcla de harina Onza De Oro 500 g. sin TACC ,"$ 420,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas de arroz sin sal Carrefour 150 g. ," 198,00","$ 182,16c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/183071-170-170?v=1767615256&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletita de arroz Crisppino oliva y hierbas 50 g. sin TACC ,"$ 103,50",,,
Carrefour,Destacados,La Dietética,ARG,Polenta Presto Pronta espinaca sin TACC 250 g. ,"$ 184,50",,,
Carrefour,Destacados,La Dietética,ARG,Salchicha fresca de cerdo Magret sin TACC parrillera 350 g. ,"$ 1.025,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas Carrefour sin sal 140 g. ," 279,00","$ 253,89c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/183409-170-170?v=1767616832&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Aperitivo sin alcohol Carrefour limón 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194444-170-170?v=1767617575&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Tostadas Carrefour sin sal 200 g. ,"$ 223,50",,,
Carrefour,Destacados,La Dietética,ARG,Chorizos bombón frescos de cerdo Magret sin TACC x 400 g. ,"$ 1.025,00",,,
Carrefour,Destacados,La Dietética,ARG,Morcilla bombón Magret tipo criolla 400 g. sin TACC ,"$ 794,00",,,
Carrefour,Destacados,La Dietética,ARG,Aperitivo sin alcohol Carrefour pomelo 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194448-170-170?v=1767617668&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletas de arroz Crisppino jamón 50 g. sin TACC ,"$ 103,50",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas Tosti sin sal 140 g. ,"$ 282,00",,,
Carrefour,Destacados,La Dietética,ARG,Barrita de semillas Zafrán almendras y coco 3 x 28 g. sin TACC ,"$ 440,00",,,
Carrefour,Destacados,La Dietética,ARG,Sal fina light Genser salero bajo sodio 300 g. ,"$ 659,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletas crackers Smams 150 g. sin TACC ,"$ 291,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas sin sal Tosti 200 g. ,"$ 218,50",,,
Carrefour,Destacados,La Dietética,ARG,Morcilla tipo criolla Magret sin TACC 400 g. ,"$ 715,00",,,
Carrefour,Destacados,La Dietética,ARG,Azúcar impalpable Pergola 250 g. sin TACC ,"$ 103,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas crackers Criollitas sin sal 169 g. ,"$ 149,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas crackers Criollitas sin sal 169 g. ,"$ 149,00",,,
Carrefour,Destacados,La Dietética,ARG,Aperitivo sin alcohol Carrefour citrus 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194451-170-170?v=1767615158&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Nuez moscada Pergola molida 25 g. sin TACC ,"$ 221,50",,,
Carrefour,Destacados,La Dietética,ARG,Limón Huella Natural x kg. ,"$ 365,00",,,
Carrefour,Destacados,La Dietética,ARG,Aperitivo sin alcohol Carrefour cordillera 1.5 l. ," 168,00","$ 154,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/194446-170-170?v=1767615639&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Ají molido Pergola 25 g. sin TACC ,"$ 52,30",,,
Carrefour,Destacados,La Dietética,ARG,Barrita de semillas Zafrán cajú y zapallo 3 x 28 g. sin TACC ,"$ 440,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida energizante Monster ultra paradise 473 ml. ,"$ 368,00",,,
Carrefour,Destacados,La Dietética,ARG,Maíz inflado Grandiet azucarado sin TACC 200 g. ,"$ 261,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas crackers Schär 210 g. sin TACC ,"$ 615,00",,,
Carrefour,Destacados,La Dietética,ARG,Canela molida Pergola 25 g. sin TACC ,"$ 96,50",,,
Carrefour,Destacados,La Dietética,ARG,Provenzal Pérgola 25 g. sin TACC ,"$ 110,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas de arroz Crisppino 100 g. sin TACC ,"$ 167,50",,,
Carrefour,Destacados,La Dietética,ARG,Albahaca deshidratada Pergola 25 g. sin TACC ,"$ 58,60",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas mini crackers Carrefour sin sal 300 g. ," 227,00","$ 211,11c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/176550-170-170?v=1767615207&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletitas marineras Don Pancho sin sal 220 g. ,"$ 216,50",,,
Carrefour,Destacados,La Dietética,ARG,Barrita de semillas Zafrán maní y cacao 3 x 28 g. sin TACC ,"$ 440,00",,,
Carrefour,Destacados,La Dietética,ARG,Premezcla para bizcochuelo Carrefour vainilla 480 g. sin TACC ," 585,00","$ 532,35c/u",Mi CRF 9%,https://carrefourar.vtexassets.com/arquivos/ids/180029-170-170?v=1767616386&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletitas pepas Grun orgánicas 150 g. ,"$ 460,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Smams chocolate sin TACC 250 g. ,"$ 371,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas de chocolate Smams rellenas 105 g. sin TACC ,"$ 227,00",,,
Carrefour,Destacados,La Dietética,ARG,Coco rallado Pergola 50 g. sin TACC ,"$ 301,00",,,
Carrefour,Destacados,La Dietética,ARG,Orégano Pérgola 25 g. sin TACC ,"$ 90,60",,,
Carrefour,Destacados,La Dietética,ARG,Condimento para arroz Pergola 25 g. sin TACC ,"$ 52,30",,,
Carrefour,Destacados,La Dietética,ARG,Galleta cracker Grun orgánica con liro y chía 140 g. ,"$ 397,00",,,
Carrefour,Destacados,La Dietética,ARG,Pan para hamburguesa Delician 2 u. sin TACC ,"$ 422,00",,,
Carrefour,Destacados,La Dietética,ARG,Fideos spaghetti Schar 250 g. sin TACC ,"$ 316,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas de arroz sin sal Crisppino 100 g. sin TACC ,"$ 167,50",,,
Carrefour,Destacados,La Dietética,ARG,Perejil deshidratado Pérgola 25 g. sin TACC ,"$ 87,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas clásicas Carrefour 130 g. sin TACC ," 818,00","$ 752,56c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/233320-170-170?v=1767616668&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Salsa de soja La Parmesana light 300 cc. ,"$ 347,70",,,
Carrefour,Destacados,La Dietética,ARG,Queso crema San Ignacio entero sin sal 290 g. ,"$ 419,00",,,
Carrefour,Destacados,La Dietética,ARG,Aceitunas verdes Terrasana gigante orgánico 250 g. ,"$ 600,00",,,
Carrefour,Destacados,La Dietética,ARG,Pan de campo Carrefour 190 g. sin TACC ," 535,00","$ 497,55c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/179786-170-170?v=1767617523&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Galletitas crisppino arroz jamón sin TACC 100 g. ,"$ 247,00",,,
Carrefour,Destacados,La Dietética,ARG,Condimento para pizza Pergola 25 g. sin TACC ,"$ 101,00",,,
Carrefour,Destacados,La Dietética,ARG,Barrita de semillas Zafrán manzana y chía 3 x 28 g. sin TACC ,"$ 426,00",,,
Carrefour,Destacados,La Dietética,ARG,Galleta grisin Grun orgánica con lira y chía 145 g. ,"$ 386,00",,,
Carrefour,Destacados,La Dietética,ARG,Shampoo Capilatis con aloe vera 100% orgánico 420 cc. ,"$ 1.022,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletas de arroz Grandiet pizza 100 g. sin TACC ,"$ 130,00",,,
Carrefour,Destacados,La Dietética,ARG,Bizcochitos dulces Smams 150 g. sin TACC ,"$ 288,50",,,
Carrefour,Destacados,La Dietética,ARG,Leche de coco Sococo UAT 200 cc. ,"$ 862,00",,,
Carrefour,Destacados,La Dietética,ARG,Langostinos crudos pelados Huella Natural 500 g. ,"$ 2.475,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas orgánicas Zafranito vainilla 150 g. ,"$ 289,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas de arroz Lulemuu multisemillas 110 g. sin TACC ,"$ 151,50",,,
Carrefour,Destacados,La Dietética,ARG,Barra de cereal Zafrán almendras coco 28 g. sin TACC ,"$ 176,50",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Smams vainilla rellenas sabor frutilla 105 g. SIN TACC ,"$ 227,00",,,
Carrefour,Destacados,La Dietética,ARG,Coquitos 6 u. sin TACC ,"$ 458,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas orgánicas Zafranito chocolate 150 g. ,"$ 289,00",,,
Carrefour,Destacados,La Dietética,ARG,Premezcla sin TACC bizcochuelo vainilla Arcor 500 g. ,"$ 601,00",,,
