market,category,currency,marca,descripcion,promocion,precio_producto,precio_promocion,precio_kilo
Dia,almacen,ARG,LEGITIMO,"Aceite de Girasol Legítimo 1,5 Lt. ",,"$ 446,50",,297.67LT
Dia,almacen,ARG,SIN MARCA,Aceite de Girasol Legítimo 900 Ml. ,,"$ 279,50",,310.56LT
Dia,almacen,ARG,NATURA,"Aceite de Girasol Natura 1,5 Lts. ",,"$ 496,20",,330.80LT
Dia,almacen,ARG,NATURA,"Aceite Girasol Natural 0,9 L. ",,"$ 310,60",,345.11LT
Dia,almacen,ARG,CELUSAL,Sal Fina en Paquete Celusal 500 Gr. ,25%,"$ 119,00","$ 158,00",238.00KG
Dia,almacen,ARG,CAÑUELAS,"Aceite de Girasol Cañuelas 1,5 Lts. ",,"$ 461,40",,307.60LT
Dia,almacen,ARG,NATURA,Mayonesa Natura 500 Ml. ,,"$ 316,30",,632.60LT
Dia,almacen,ARG,SIN MARCA,"Aceite Mezcla Cañuelas Soja Girasol 1,5 Lt. ",,"$ 356,30",,237.53LT
Dia,almacen,ARG,MENOYO,Vinagre de Alcohol Menoyo 1 L. ,,"$ 191,60",,191.60LT
Dia,almacen,ARG,HELLMANNS,Ketchup Hellmann's 500 Gr. ,,"$ 353,80",,707.60KG
Dia,almacen,ARG,PUREZA,"Aceite de Girasol Pureza 1,5 Lts. ",,"$ 867,80",,578.53LT
Dia,almacen,ARG,SIN MARCA,Aceite Mezcla Girasol Cañuelas 900 Ml. ,,"$ 205,90",,228.78LT
Dia,almacen,ARG,SOJOLA,Aceite Soja Sojola 900 Ml. ,,"$ 201,90",,224.33LT
Dia,almacen,ARG,SAVORA,Mostaza Savora Original DoyPack 250 Gr. ,,"$ 219,50",,878.00KG
Dia,almacen,ARG,NATURA,Aceite Natura Girasol 500 Cc. ,,"$ 183,60",,367.20LT
Dia,almacen,ARG,CELUSAL,Sal Final Celusal Con Hierro 500 Gr. ,,"$ 142,70",,285.40KG
Dia,almacen,ARG,HELLMANNS,Mayonesa Hellmann's Clásica botella 100% reciclada 320 Gr. ,,"$ 278,60",,870.63KG
Dia,almacen,ARG,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 475 Gr. ,,"$ 337,45",,710.42KG
Dia,almacen,ARG,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 950 Gr. ,,"$ 605,99",,637.88KG
Dia,almacen,ARG,LA PARMESANA,OREGANO     LA PARMESANA 25GR ,,"$ 134,90",,5396.00KG
Dia,almacen,ARG,DIA,Pimienta Negra Molida DIA 25 Gr. ,,"$ 141,70",,5668.00KG
Dia,almacen,ARG,COCINERO,"Aceite Cocinero Mezcla 1,5 Lts. ",,"$ 367,70",,245.13LT
Dia,almacen,ARG,SIGLO DE ORO,Aceite Mezcla Siglo de Oro 900 Ml. ,,"$ 185,70",,206.33LT
Dia,almacen,ARG,DIA,Vinagre de Alcohol DIA 1 Lt. ,,"$ 173,59",,173.59LT
Dia,almacen,ARG,SAVORA,Mostaza Savora 500 Gr. ,,"$ 383,40",,766.80KG
Dia,almacen,ARG,KNORR,Espinaca Deshidratada Knorr 50 Gr. ,,"$ 320,60",,6412.00KG
Dia,almacen,ARG,DIA,"Aceite de Girasol DIA 1,5 Lts. ",,"$ 779,00",,519.33LT
Dia,almacen,ARG,KNORR,Cebolla Deshidratada Knorr 100 Gr. ,14%,"$ 319,00","$ 370,00",3190.00KG
Dia,almacen,ARG,DIA,Comino Molido DIA 25 Gr. ,,"$ 136,00",,5440.00KG
Dia,almacen,ARG,MENOYO,Salsa de Soja Menoyo Tradicional 250 Gr. ,,"$ 395,60",,1582.40KG
Dia,almacen,ARG,DIA,Aceite de Girasol DIA 900 Ml. ,,"$ 493,50",,548.33LT
Dia,almacen,ARG,DIA,Sal Fina DIA 500 Gr. ,,"$ 94,90",,189.80KG
Dia,almacen,ARG,IDEAL,"Aceite de Girasol Ideal 1,5 Lts. ",,"$ 426,70",,284.47LT
Dia,almacen,ARG,DIA,Aceite en Aerosol DIA 120 Gr. ,,"$ 374,19",,3118.25KG
Dia,almacen,ARG,DIA,Nuez Moscada Molida DIA 25 Gr. ,,"$ 306,10",,12244.00KG
Dia,almacen,ARG,FLORENCIA,Aceite Mezcla Florencia Soja y Girasol 900 Ml. ,,"$ 206,80",,229.78LT
Dia,almacen,ARG,NUCETE,Aceite de Oliva Nucete Extra Virgen 500 Ml. ,,"$ 1.130,98",,2261.96LT
Dia,almacen,ARG,FLORENCIA,"Aceite Mezcla Florencia Soja y Girazol 1,5 Lt. ",,"$ 330,90",,220.60LT
Dia,almacen,ARG,DIA,Condimento para arroz DIA 25 Gr. ,,"$ 93,00",,3720.00KG
Dia,almacen,ARG,MENOYO,Orégano en hojas Menoyo 23 Gr. ,,"$ 136,00",,5913.04KG
Dia,almacen,ARG,COCINERO,Aceite de Oliva Cocinero Extra Virgen Suave 500 Ml. ,14%,"$ 1.199,00","$ 1.399,00",2398.00LT
Dia,almacen,ARG,HELLMANNS,Ketchup Clásico Hellmann's Doypack 250 Gr. ,,"$ 266,98",,1067.92KG
Dia,almacen,ARG,HELLMANNS,Salsa Barbacoa Hellmann's 400 Gr. ,,"$ 507,40",,1268.50KG
Dia,almacen,ARG,DANICA,Mayonesa Dánica con Jugo de Limón Sin Tacc 500 Gr. ,,"$ 289,45",,578.90KG
Dia,almacen,ARG,COCINERO,Aceite Cocinero Mezcla 900 Ml. ,,"$ 212,50",,236.11LT
Dia,almacen,ARG,DIA,Aceite de Oliva Extravirgen DIA Envase Pet 500 Ml. ,,"$ 642,60",,1285.20LT
Dia,almacen,ARG,DANICA,Mostaza Dánica 220 Gr. ,,"$ 133,59",,607.23KG
Dia,almacen,ARG,DANICA,Salsa Golf Dánica Sin Tacc 220 Gr. ,,"$ 178,55",,811.59KG
Dia,almacen,ARG,LIRA,"Aceite de Girasol Lira 1,5 Lts. ",14%,"$ 799,00","$ 932,00",532666.67LT
Dia,almacen,ARG,NATURA,Ketchup Natura 250 Gr. ,,"$ 208,10",,832.40KG
Dia,almacen,ARG,DIA,Pimienta Blanca Molida DIA 25 Gr. ,,"$ 151,90",,6076.00KG
Dia,almacen,ARG,MORIXE,Aceite de Oliva Morixe Extra Virgen 250 Ml. ,,"$ 838,63",,3354.52LT
Dia,almacen,ARG,HELLMANNS,Mayonesa Clásica Hellmann's Sin Tacc Doypack 237 Gr. ,,"$ 203,90",,860.34KG
Dia,almacen,ARG,CELUSAL,Sal Gruesa Celusal 1 Kg. ,,"$ 257,00",,257.00KG
Dia,almacen,ARG,DIA,Sal Fina DIA 500 Gr. ,,"$ 289,10",,578.20KG
Dia,almacen,ARG,NOT MAYO,Aderezo a base de plantas NotMayo Light 200 Gr. ,6%,"$ 205,00","$ 218,24",1025.00KG
Dia,almacen,ARG,PUREZA,Aceite de Girasol Pureza 900 Ml. ,,"$ 575,22",,639.13LT
Dia,almacen,ARG,IDEAL,Aceite de Girasol Ideal 900 Ml. ,,"$ 267,10",,296.78LT
Dia,almacen,ARG,MENOYO,Mayonesa Light Menoyo sin tacc 470 Gr. ,,"$ 286,45",,572.90LT
Dia,almacen,ARG,GENSER,Sal Clásica Genser 90 Gr. ,28%,"$ 305,00","$ 424,92",3388.89KG
Dia,almacen,ARG,ALICANTE,Provenzal Alicante 25 Gr. ,,"$ 161,20",,6.45GR
Dia,almacen,ARG,KNORR,Bolsa para Horno Knorr Hierbas y Especias 21 Gr. ,,"$ 175,70",,8366.67KG
Dia,almacen,ARG,NATURA,Mostaza Natura 250 Gr. ,,"$ 170,25",,681.00KG
Dia,almacen,ARG,KNORR,Mix de Especias Knorr Capresse 20 Gr. ,,"$ 177,90",,8895.00KG
Dia,almacen,ARG,LA PARMESANA,AJI MOLIDO   LA PARMESANA 25GR ,,"$ 70,05",,2802.00KG
Dia,almacen,ARG,KNORR,Mix de Especias Knorr Finas Hierbas 20 Gr. ,,"$ 191,69",,9584.50KG
Dia,almacen,ARG,NUCETE,Aceite Oliva Nucete Extra Virgen Envase de Vidrio 500 Ml. ,,"$ 1.209,02",,2418.04LT
Dia,almacen,ARG,HELLMANNS,Mayonesa Liviana Doy Pack Hellmann´s 475 Gr. ,,"$ 349,80",,736.42KG
Dia,almacen,ARG,HEINZ,Mayonesa Light Heinz 200 Gr. ,,"$ 254,03",,1270.15KG
Dia,almacen,ARG,DIA,Mayonesa DIA 900 Ml. ,,"$ 440,80",,521.04KG
Dia,almacen,ARG,CAÑUELAS,Aceite de Oliva Cañuelas Clásico 500 Ml. ,,"$ 1.014,99",,2029.98LT
Dia,almacen,ARG,MENOYO,Mayonesa Menoyo Original Sin Tacc 500 Gr. ,,"$ 280,10",,560.20KG
Dia,almacen,ARG,ALICANTE,Canela Molida Alicante 25 Gr. ,,"$ 229,10",,9164.00KG
Dia,almacen,ARG,DANICA,Mayonesa Dánica con Jugo de Limón Sin Tacc 950 Gr. ,,"$ 580,80",,580.80KG
Dia,almacen,ARG,KNORR,Mix de Especias Knorr Orienta 35 Gr. ,,"$ 191,69",,5476.86KG
Dia,almacen,ARG,DIA,Sal Gruesa DIA 1 Kg. ,,"$ 132,55",,132.55KG
Dia,almacen,ARG,NOT MAYO,Aderezo NotMayo Original NotCo 200 Gr. ,6%,"$ 205,00","$ 218,24",1025.00KG
Dia,almacen,ARG,MORIXE,Aceite de Girasol Morixe 900 Ml. ,,"$ 533,77",,593.08LT
Dia,almacen,ARG,SIN MARCA,Mayonesa Liviana Hellmann´s Doy Pack 237 Gr. ,,"$ 209,10",,882.28LT
Dia,almacen,ARG,SUEÑO VERDE,Aderezo Balsámico Sueño Verde 200 Gr. ,,"$ 589,00",,2945.00KG
Dia,almacen,ARG,DIA,Ketchup DIA 400 Gr. ,,"$ 261,90",,654.75KG
Dia,almacen,ARG,KNORR,Mix de especias Knorr Ahumado 20 Gr. ,,"$ 176,50",,8825.00KG
Dia,almacen,ARG,DIA,Pimenton DIA 50 Gr. ,,"$ 173,70",,3474.00KG
Dia,almacen,ARG,HELLMANNS,Mayonesa Hellmann's Light Doypack 237 Gr. ,,"$ 190,00",,760.00KG
Dia,almacen,ARG,DIA,Jugo de Limón Dia 1 Lt. ,,"$ 446,34",,464.94LT
Dia,almacen,ARG,DIA,Orégano DIA 25 Gr. ,,"$ 130,65",,5226.00KG
Dia,almacen,ARG,LIRA,Aceite de Oliva Lira Extra Virgen 500 Ml. ,,"$ 1.500,46",,3000.92LT
Dia,almacen,ARG,DIA,Provenzal DIA 50 Gr. ,,"$ 230,00",,4600.00KG
Dia,almacen,ARG,LIRA,Aceite de Girasol Lira 900 Ml. ,,"$ 554,62",,616.24LT
Dia,almacen,ARG,DIA,Condimento Para Pizza DIA 25 Gr. ,,"$ 112,85",,4514.00KG
Dia,almacen,ARG,MENOYO,Vinagre de Alcohol Menoyo 500 Ml. ,,"$ 118,20",,236.40LT
Dia,almacen,ARG,COCINERO,Aceto Balsámico Cocinero 250 Ml. ,,"$ 409,95",,1639.80LT
Dia,almacen,ARG,COCINERO,"Aceite de Girasol Cocinero Alto Oléico 1,5 Lts. ",,"$ 1.015,56",,677.04LT
Dia,almacen,ARG,MENOYO,Mayonesa Light Menoyo sin tacc 235 Gr. ,,"$ 183,10",,732.40KG
Dia,almacen,ARG,COCINERO,Aceite de Oliva Cocinero Extra Virgen 500 Ml. ,,"$ 1.153,78",,2307.56LT
Dia,almacen,ARG,MENOYO,Mayonesa Menoyo Original Sin Tacc 900 Ml. ,,"$ 553,15",,614.61LT
Dia,almacen,ARG,MENOYO,Mostaza Menoyo Sin Tacc 250 Gr. ,,"$ 167,20",,668.80KG
Dia,almacen,ARG,DIA,Jugo de Limón Dia 500 ml. ,,"$ 216,00",,432.00LT
Dia,almacen,ARG,COCINERO,Aceite de Oliva Cocinero Extra Virgen Intenso 500 Ml. ,,"$ 1.490,05",,2980.10LT
Dia,almacen,ARG,SUEÑO VERDE,Aderezo Pesto de Albahaca Sueño Verde 170 Gr. ,,"$ 1.125,00",,6617.65KG
Dia,almacen,ARG,HELLMANNS,Hellmanns Mayonesa Aderezo Vegano 500 Gr. ,,"$ 361,00",,722.00KG
Dia,almacen,ARG,MENOYO,Mayonesa Menoyo Original Sin Tacc 250 Gr. ,,"$ 162,90",,651.60KG
Dia,almacen,ARG,HELLMANNS,Salsa Barbacoa Hellmann's doypack 500 Gr. ,,"$ 392,99",,785.98KG
Dia,almacen,ARG,DIA,Mayonesa DIA 500 Ml. ,,"$ 265,20",,530.40KG
Dia,almacen,ARG,DIA,Vinagre de Manzana DIA 500 Ml. ,,"$ 155,45",,310.90LT
Dia,almacen,ARG,MENOYO,Mostaza Menoyo sin tacc 60 Gr. ,,"$ 47,90",,798.33KG
Dia,almacen,ARG,COCINERO,Aceite de Girasol Cocinero Alto Oléico 900 Ml. ,,"$ 640,66",,711.84LT
Dia,almacen,ARG,MENOYO,Mayonesa Menoyo Original Sin Tacc 100 Gr. ,,"$ 80,90",,809.00KG
Dia,almacen,ARG,KANSAS,Salsa Barbacoa Kansas 455 Gr. ,,"$ 715,00",,1571.43KG
Dia,almacen,ARG,LIRA,Aceite de Maíz Lira 900 Ml. ,,"$ 1.324,17",,1471.30LT
Dia,almacen,ARG,NOT MAYO,Aderezo NotMayo Ajo NotCo 325 Gr. ,,"$ 572,75",,1762.31KG
Dia,almacen,ARG,KANSAS,KETCHUP KANSAS 465GR ,,"$ 616,00",,1324.73KG
Dia,almacen,ARG,SUEÑO VERDE,Mostaza Sueño Verde con Miel 200 Ml. ,,"$ 519,00",,2595.00LT
Dia,almacen,ARG,KANSAS,Salsa Caesar Kansas 370 Gr. ,,"$ 794,20",,2146.49KG
Dia,almacen,ARG,LA PARMESANA,PIMIENTA NEGRA MOLIDA LA PARMESANA 25GR ,,"$ 155,00",,3100.00KG
Dia,almacen,ARG,NOT MAYO,Aderezo NotMayo Oliva NotCo 325 Gr. ,,"$ 572,75",,1762.31KG
Dia,almacen,ARG,NOT MAYO,Aderezo NotMayo Picante NotCo 325 Gr. ,,"$ 572,75",,1762.31KG
Dia,almacen,ARG,MENOYO,Aceto Reducción Menoyo 250 Ml. ,,"$ 442,70",,1770.80LT
Dia,almacen,ARG,KANSAS,Salsa Kansas Vinagreta 390 Gr. ,,"$ 715,00",,1833.33KG
Dia,almacen,ARG,PASTA BOX,Salsa La Parmesana Chimichurri Tradicional 300 Ml. ,,"$ 234,45",,68.61LT
Dia,almacen,ARG,SIN MARCA,CHIMICHURRI 50 GR ,,"$ 89,00",,1780.00KG
Dia,almacen,ARG,SIN MARCA,Pimentón 50 Gr. ,,"$ 89,00",,1780.00KG
Dia,almacen,ARG,CELUSAL,Sal Entrefina Celusal para Parrilla 1 Kg. ,,"$ 247,00",,247.00KG
Dia,almacen,ARG,DIA,Sal Entrefina DIA Parrillera 500 Gr. ,,"$ 97,00",,194.00KG
Dia,almacen,ARG,KANSAS,Salsa Kansas Vinagreta 390 Gr. ,,"$ 1.062,95",,2725.51KG
Dia,almacen,ARG,KANSAS,MAYONESA KANSAS 400GR ,,"$ 616,00",,1540.00KG
Dia,almacen,ARG,MENOYO,Vinagre de Manzana Menoyo 500 Ml. ,,"$ 220,45",,440.90LT
