categoria,links
especial ofertas,https://diaonline.supermercadosdia.com.ar/especial-ofertas
almacen,https://diaonline.supermercadosdia.com.ar/almacen
desayuno,https://diaonline.supermercadosdia.com.ar/desayuno
bebidas,https://diaonline.supermercadosdia.com.ar/bebidas
frescos,https://diaonline.supermercadosdia.com.ar/frescos
frutas y verduras,https://diaonline.supermercadosdia.com.ar/frescos/frutas-y-verduras
congelados,https://diaonline.supermercadosdia.com.ar/congelados
perfumeria,https://diaonline.supermercadosdia.com.ar/perfumeria
limpieza,https://diaonline.supermercadosdia.com.ar/limpieza
bebes y ninos,https://diaonline.supermercadosdia.com.ar/bebes-y-ninos
mascotas,https://diaonline.supermercadosdia.com.ar/mascotas
electro hogar,https://diaonline.supermercadosdia.com.ar/electro-hogar
