Supermercado,Categoría,precio,descuento,brand,description,imagen
Disco,Almacén,"$288,8",,CAÑUELAS,Aceite De Girasol Cañuelas 900 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/210381-500-auto?v=1769317872&width=500&height=auto&aspect=true
Disco,Almacén,"$496,2",,NATURA,Aceite De Girasol Natura 1.5 L ,https://discoargentina.vtexassets.com/arquivos/ids/427751-500-auto?v=1769322662&width=500&height=auto&aspect=true
Disco,Almacén,"$446,5",,LEGITIMO,"Aceite Girasol Legitimo X1,5l ",https://discoargentina.vtexassets.com/arquivos/ids/713315-500-auto?v=1769318408&width=500&height=auto&aspect=true
Disco,Almacén,"$310,6",,NATURA,Aceite De Girasol Natura 900 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/687695-500-auto?v=1769319502&width=500&height=auto&aspect=true
Disco,Almacén,"$461,4",,CAÑUELAS,Aceite Cañuelas De Girasol - 1.5 L ,https://discoargentina.vtexassets.com/arquivos/ids/427642-500-auto?v=1769319139&width=500&height=auto&aspect=true
Disco,Almacén,"$488,33",,FRITOLIM,Aceite Girasol Clasico En Aerosol Fritolim X120 Gr ,https://discoargentina.vtexassets.com/arquivos/ids/614695-500-auto?v=1769318252&width=500&height=auto&aspect=true
Disco,Almacén,"$183,6",,NATURA,Aceite Natura De Girasol 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/194938-500-auto?v=1769312628&width=500&height=auto&aspect=true
Disco,Almacén,"$593,25",,PUREZA,"Aceite Girasol Pureza 0,9 L ",https://discoargentina.vtexassets.com/arquivos/ids/591712-500-auto?v=1769307454&width=500&height=auto&aspect=true
Disco,Almacén,"$451,26",,NATURA,Aceite De Girasol Natura 126 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/204046-500-auto?v=1769319143&width=500&height=auto&aspect=true
Disco,Almacén,"$955,13",,PUREZA,"Aceite Girasol Pureza 1,5 L ",https://discoargentina.vtexassets.com/arquivos/ids/591713-500-auto?v=1769312972&width=500&height=auto&aspect=true
Disco,Almacén,"$615,92",,COCINERO,Aceite Girasol Cocinero Plus Oleico 900 L ,https://discoargentina.vtexassets.com/arquivos/ids/614845-500-auto?v=1769316874&width=500&height=auto&aspect=true
Disco,Almacén,"$634,06",,LIRA,Aceite De Girasol Lira X 900 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/614835-500-auto?v=1769318531&width=500&height=auto&aspect=true
Disco,Almacén,"$1.583,84",,LIRA,"Aceite Lira Mezcla X1,5 Lt ",https://discoargentina.vtexassets.com/arquivos/ids/614642-500-auto?v=1769312668&width=500&height=auto&aspect=true
Disco,Almacén,"$201,9",,SOJOLA,Aceite De Soja Sojola 900 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/210279-500-auto?v=1769313511&width=500&height=auto&aspect=true
Disco,Almacén,"$1.019,72",,LIRA,Aceite De Girasol Lira X 1.5 Lt ,https://discoargentina.vtexassets.com/arquivos/ids/614834-500-auto?v=1769316543&width=500&height=auto&aspect=true
Disco,Almacén,"$488,33",,FRITOLIM,Aceite Girasol Sabor Manteca En Aerosol Fritolim X120 Gr ,https://discoargentina.vtexassets.com/arquivos/ids/614688-500-auto?v=1769316665&width=500&height=auto&aspect=true
Disco,Almacén,$499,,CUISINE & CO NBE MP,Aceite  De Girasol 120 Gr Cuisine & Co ,https://discoargentina.vtexassets.com/arquivos/ids/601152-500-auto?v=1769317889&width=500&height=auto&aspect=true
Disco,Almacén,"$500,52",,ALSAMAR,Aceite Girasol Alsamar X 900cc ,https://discoargentina.vtexassets.com/arquivos/ids/624347-500-auto?v=1769317716&width=500&height=auto&aspect=true
Disco,Almacén,"$868,94",,CADA DIA,Aceite De Girasol Cada Día 1.5 Lt ,https://discoargentina.vtexassets.com/arquivos/ids/182008-500-auto?v=1769316627&width=500&height=auto&aspect=true
Disco,Almacén,"$543,86",,CADA DIA,Aceite De Girasol Cada Día 900 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/189034-500-auto?v=1769318051&width=500&height=auto&aspect=true
Disco,Almacén,"$2.252,82",,BEEPURE,Aceite De Coco Virgenbeepure Frasco350ml ,https://discoargentina.vtexassets.com/arquivos/ids/698130-500-auto?v=1769266511&width=500&height=auto&aspect=true
Disco,Almacén,"$483,38",,MAMA COCINA,Aceite Mama Cocina Harina X150gr ,https://discoargentina.vtexassets.com/arquivos/ids/623303-500-auto?v=1769306096&width=500&height=auto&aspect=true
Disco,Almacén,"$640,29",,CAÑUELAS,Aceite De Oliva Cañuelas ,https://discoargentina.vtexassets.com/arquivos/ids/764082-500-auto?v=1769304170&width=500&height=auto&aspect=true
Disco,Almacén,"$1.058,15",,KROL,Aceite De Canola Krol Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/183598-500-auto?v=1769279025&width=500&height=auto&aspect=true
Disco,Almacén,"$1.024,98",,CUISINE & CO NBE MP,Aceite De Canola Cuisine & Co 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/602287-500-auto?v=1769323273&width=500&height=auto&aspect=true
Disco,Almacén,"$538,55",,MORIXE,Aceite Girasol Morixe X 900ml ,https://discoargentina.vtexassets.com/arquivos/ids/683574-500-auto?v=1769308375&width=500&height=auto&aspect=true
Disco,Almacén,"$600,94",,LIRA,Aerosol Lira Manteca X120g ,https://discoargentina.vtexassets.com/arquivos/ids/663637-500-auto?v=1769310637&width=500&height=auto&aspect=true
Disco,Almacén,"$784,57",,JUMBO MP,Aceite De Canola Jumbo Limón 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/208009-500-auto?v=1769322864&width=500&height=auto&aspect=true
Disco,Almacén,"$784,57",,JUMBO MP,Aceite De Canola Jumbo Ajo 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/207989-500-auto?v=1769322857&width=500&height=auto&aspect=true
Disco,Almacén,"$1.184,16",,KROL,Aceite De Canola Y Oliva Krol Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/205215-500-auto?v=1769304745&width=500&height=auto&aspect=true
Disco,Almacén,"$1.332,95","$866,42",CAÑUELAS,Aceite De Oliva Cañuelas Extra Virgen Clásico 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/206902-500-auto?v=1769314118&width=500&height=auto&aspect=true
Disco,Almacén,"$1.807,64","$1.174,97",COCINERO,Aceite Oliva Cocinero Extra Virgen Suave 500m ,https://discoargentina.vtexassets.com/arquivos/ids/649681-500-auto?v=1769312389&width=500&height=auto&aspect=true
Disco,Almacén,"$1.569,88","$1.020,42",NUCETE,Aceite Nucete De Oliva Extra Virgen Premium ,https://discoargentina.vtexassets.com/arquivos/ids/708594-500-auto?v=1769310763&width=500&height=auto&aspect=true
Disco,Almacén,"$3.598,76","$2.339,19",YANCANELLO,Aceite De Oliva Yancanello Extra Virgen 1 L ,https://discoargentina.vtexassets.com/arquivos/ids/673682-500-auto?v=1769306032&width=500&height=auto&aspect=true
Disco,Almacén,"$704,3","$457,79",FRITOLIM,Aceite Oliva En Aerosol Fritolim X120 Gr ,https://discoargentina.vtexassets.com/arquivos/ids/614687-500-auto?v=1769307560&width=500&height=auto&aspect=true
Disco,Almacén,"$1.807,64","$1.174,97",COCINERO,Aceite Oliva Cocinero Extra Virgen Intenso 50 ,https://discoargentina.vtexassets.com/arquivos/ids/649680-500-auto?v=1769307604&width=500&height=auto&aspect=true
Disco,Almacén,"$2.655,95","$1.726,37",LA TOSCANA,Aceite De Oliva La Toscana Extra Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/177436-500-auto?v=1769318495&width=500&height=auto&aspect=true
Disco,Almacén,"$540,28","$351,18",NATURA,Aceite De Oliva Natura Virgen 120 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/687702-500-auto?v=1769316361&width=500&height=auto&aspect=true
Disco,Almacén,"$2.476,54","$1.609,75",ZUELO,Aceite De Oliva Zuelo Intenso 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/691465-500-auto?v=1769310179&width=500&height=auto&aspect=true
Disco,Almacén,"$2.476,54","$1.609,75",ZUELO,Aceite De Oliva Zuelo Suave 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/638024-500-auto?v=1769307595&width=500&height=auto&aspect=true
Disco,Almacén,"$1.814,85","$1.179,65",OLIOVITA,Aceite De Oliva Oliovita Extra Virgen Clásico 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/568751-500-auto?v=1769317540&width=500&height=auto&aspect=true
Disco,Almacén,"$1.702,22","$1.106,44",NUCETE,Aceite De Oliva Nucete Virgen Lata  - 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/708598-500-auto?v=1769321503&width=500&height=auto&aspect=true
Disco,Almacén,"$1.485,33","$965,46",NUCETE,Aceite De Oliva Nucete Clásico 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/708592-500-auto?v=1769309828&width=500&height=auto&aspect=true
Disco,Almacén,"$546,43","$355,18",CAÑUELAS,Aceite Cañuelas De Girasol 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/764081-500-auto?v=1769318329&width=500&height=auto&aspect=true
Disco,Almacén,"$1.969,39","$1.280,1",OLIOVITA,Aceite De Oliva Oliovita Extra Virgen Arbequina 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/568760-500-auto?v=1769318773&width=500&height=auto&aspect=true
Disco,Almacén,"$1.737,64","$1.129,47",CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen 500cc  Cuisine & ,https://discoargentina.vtexassets.com/arquivos/ids/752323-500-auto?v=1769323331&width=500&height=auto&aspect=true
Disco,Almacén,"$1.732,68","$1.126,24",LIRA,Aceite De Oliva Lira Intenso Extrs Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/614590-500-auto?v=1769306130&width=500&height=auto&aspect=true
Disco,Almacén,"$3.430,96","$2.230,12",CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen 1l Cuisine & Co ,https://discoargentina.vtexassets.com/arquivos/ids/755026-500-auto?v=1769309087&width=500&height=auto&aspect=true
Disco,Almacén,"$1.529,88","$994,42",LA TOSCANA,Aceite Oliva La Toscana Ev X250ml ,https://discoargentina.vtexassets.com/arquivos/ids/696110-500-auto?v=1769310402&width=500&height=auto&aspect=true
Disco,Almacén,"$2.036,16","$1.323,5",LA TOSCANA,Aceite De Oliva La Toscana Extra Virgen Con Albahaca 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/178797-500-auto?v=1769304172&width=500&height=auto&aspect=true
Disco,Almacén,"$775,74","$504,23",LIRA,Aerosol Aceite Oliva Lira 120 G ,https://discoargentina.vtexassets.com/arquivos/ids/649679-500-auto?v=1769304184&width=500&height=auto&aspect=true
Disco,Almacén,"$1.771,1",,COWS PURE,Ghee  Cow Pure X 520g ,https://discoargentina.vtexassets.com/arquivos/ids/741168-500-auto?v=1769284382&width=500&height=auto&aspect=true
Disco,Almacén,"$2.036,16","$1.323,5",LA TOSCANA,Aceite De Oliva La Toscana Extra Virgen Con Ajo 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/178801-500-auto?v=1769308285&width=500&height=auto&aspect=true
Disco,Almacén,"$1.528,53","$993,54",ZUELO,Aceite De Oliva Zuelo Original 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/691467-500-auto?v=1769305530&width=500&height=auto&aspect=true
Disco,Almacén,"$1.600,75","$1.040,49",OLIOVITA,Aceite De Oliva Oliovita Organico X250cc ,https://discoargentina.vtexassets.com/arquivos/ids/543948-500-auto?v=1769315383&width=500&height=auto&aspect=true
Disco,Almacén,"$2.248,75","$1.461,69",YANCANELLO,Aceite De Oliva Yancanello Extra Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/180742-500-auto?v=1769318504&width=500&height=auto&aspect=true
Disco,Almacén,"$1.613,58","$1.048,83",LIRA,Aceite De Oliva Lira Clásico Extra Virgen 500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/614752-500-auto?v=1769309944&width=500&height=auto&aspect=true
Disco,Almacén,"$824,28","$535,78",NUCETE,Aceite De Oliva Nucete Clásico 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/708565-500-auto?v=1769312965&width=500&height=auto&aspect=true
Disco,Almacén,"$1.093,67","$710,89",CUISINE & CO NBE MP,Aceite De Oliva Extra Virgen 250cc  Cuisine & ,https://discoargentina.vtexassets.com/arquivos/ids/752326-500-auto?v=1769306253&width=500&height=auto&aspect=true
Disco,Almacén,"$612,84","$398,35",NUCETE,Aceite Nucete Rocio Vegetal De Oliva 120 Gr ,https://discoargentina.vtexassets.com/arquivos/ids/708593-500-auto?v=1769301005&width=500&height=auto&aspect=true
Disco,Almacén,"$1.212,85",,COWS PURE,Ghee Manteca Clarificada Cow's Pure 300g ,https://discoargentina.vtexassets.com/arquivos/ids/636166-500-auto?v=1769317636&width=500&height=auto&aspect=true
Disco,Almacén,"$1.525,13","$991,33",CASALTA,Aceite De Oliva Casalta Virgen Extra Suave ,https://discoargentina.vtexassets.com/arquivos/ids/567539-500-auto?v=1769315339&width=500&height=auto&aspect=true
Disco,Almacén,"$1.525,13","$991,33",CASALTA,Aceite De Oliva Casalta Virgen Extra Suave 250 Cc ,https://discoargentina.vtexassets.com/arquivos/ids/567531-500-auto?v=1769294881&width=500&height=auto&aspect=true
Disco,Almacén,"$2.214,15","$1.439,2",CUISINE & CO NBE MP,Aceite De Oliva Organico 500ml Cuisine & Co ,https://discoargentina.vtexassets.com/arquivos/ids/771354-500-auto?v=1769323324&width=500&height=auto&aspect=true
Disco,Almacén,"$1.346,97",,BEEPURE,Manteca Clarificada Ghee Beepure Frasco 270g ,https://discoargentina.vtexassets.com/arquivos/ids/698129-500-auto?v=1769306370&width=500&height=auto&aspect=true
Disco,Almacén,"$2.036,16","$1.323,5",LA TOSCANA,Aceite De Oliva La Toscana Extra Virgen Con Oregano 250 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/555637-500-auto?v=1769303299&width=500&height=auto&aspect=true
Disco,Almacén,"$2.021,02","$1.313,66",LIRA,Aceite De Oliva Lira Cosecha Temprana Extra Virgen X500 Ml ,https://discoargentina.vtexassets.com/arquivos/ids/614594-500-auto?v=1769308259&width=500&height=auto&aspect=true
