categoria,links
Electro,https://www.disco.com.ar/electro?map=category-1
Tiempo Libre,https://www.disco.com.ar/tiempo-libre?map=category-1
Almacén,https://www.disco.com.ar/almacen?map=category-1
Bebidas,https://www.disco.com.ar/bebidas?map=category-1
Carnes,https://www.disco.com.ar/carnes?map=category-1
Frutas y Verduras,https://www.disco.com.ar/frutas-y-verduras?map=category-1
Lácteos,https://www.disco.com.ar/lacteos?map=category-1
Perfumería,https://www.disco.com.ar/perfumeria?map=category-1
Bebés y Niños,https://www.disco.com.ar/bebes-y-ninos?map=category-1
Limpieza,https://www.disco.com.ar/limpieza?map=category-1
Quesos y Fiambres,https://www.disco.com.ar/quesos-y-fiambres?map=category-1
Congelados,https://www.disco.com.ar/congelados?map=category-1
Panadería y Repostería,https://www.disco.com.ar/panaderia-y-reposteria?map=category-1
Comidas Preparadas,https://www.disco.com.ar/comidas-preparadas?map=category-1
Mascotas,https://www.disco.com.ar/mascotas?map=category-1
Hogar y Textil,https://www.disco.com.ar/hogar-y-textil?map=category-1
