Supermercado,Categoría,precio,descuento,brand,description,imagen
Disco,Almacén,"$122,4",,OREO,Galletitas Dulces Mini Oreo Snack 50g ,https://veaargentina.vtexassets.com/arquivos/ids/778499-500-auto?v=1769633780&width=500&height=auto&aspect=true
Disco,Almacén,"$335,54",,OPERA,Galletitas ópera Agrupadas 220 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/624009-500-auto?v=1769625614&width=500&height=auto&aspect=true
Disco,Almacén,"$453,21",,DIVERSION,Galletitas Surtido Diver Bagley X398g ,https://veaargentina.vtexassets.com/arquivos/ids/714209-500-auto?v=1769631801&width=500&height=auto&aspect=true
Disco,Almacén,"$810,79",$579,OREO,Galletitas Dulces Rellenas Con Crema Oreo 354g ,https://veaargentina.vtexassets.com/arquivos/ids/775399-500-auto?v=1769633738&width=500&height=auto&aspect=true
Disco,Almacén,"$310,69",$304,OREO,Galletitas Dulces Rellenas Con Crema Oreo 118g ,https://veaargentina.vtexassets.com/arquivos/ids/775397-500-auto?v=1769633740&width=500&height=auto&aspect=true
Disco,Almacén,"$290,54",,PEPITOS,Pepitos Regular 60x119g ,https://veaargentina.vtexassets.com/arquivos/ids/775398-500-auto?v=1769631844&width=500&height=auto&aspect=true
Disco,Almacén,"$339,3",,CHOCOLINAS,Galletitas Chocolinas X262g ,https://veaargentina.vtexassets.com/arquivos/ids/755200-500-auto?v=1769633576&width=500&height=auto&aspect=true
Disco,Almacén,"$509,69",,RUMBA,Galletitas Rumba 324g ,https://veaargentina.vtexassets.com/arquivos/ids/726231-500-auto?v=1769633772&width=500&height=auto&aspect=true
Disco,Almacén,"$117,7",,MACUCAS,Galletitas Macucas X110g ,https://veaargentina.vtexassets.com/arquivos/ids/636181-500-auto?v=1769633548&width=500&height=auto&aspect=true
Disco,Almacén,"$395,62",,CACHAFAZ,Galletitas Integral Cachafaz Avena Con Chips De Chocolate 225 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/192619-500-auto?v=1769622894&width=500&height=auto&aspect=true
Disco,Almacén,"$403,17",,FRUTIGRAN,Galletitas Frutigran Avena Y Pasas 250 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/178501-500-auto?v=1769625249&width=500&height=auto&aspect=true
Disco,Almacén,$275,,CUISINE & CO NBE MP,Vainillas Cuisine&co X 12 U ,https://veaargentina.vtexassets.com/arquivos/ids/607840-500-auto?v=1769632106&width=500&height=auto&aspect=true
Disco,Almacén,"$506,83",$399,VARIEDAD,Variedad Nuevo Mix 20x390g ,https://veaargentina.vtexassets.com/arquivos/ids/775395-500-auto?v=1769633746&width=500&height=auto&aspect=true
Disco,Almacén,"$395,62",,CACHAFAZ,Galletitas Integral Cachafaz Granola ,https://veaargentina.vtexassets.com/arquivos/ids/192618-500-auto?v=1769633541&width=500&height=auto&aspect=true
Disco,Almacén,"$180,5",,BAGLEY,Galletas Secas 118 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/583015-500-auto?v=1769630907&width=500&height=auto&aspect=true
Disco,Almacén,"$221,3",,ANILLOS,Galletitas Dulces Anillitos Clásicos De Terrabusi 170g ,https://veaargentina.vtexassets.com/arquivos/ids/775629-500-auto?v=1769632158&width=500&height=auto&aspect=true
Disco,Almacén,"$417,23",,FRUTIGRAN,Galletitas Frutigran Con Chips De Chocolate 255 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/197414-500-auto?v=1769633544&width=500&height=auto&aspect=true
Disco,Almacén,"$198,54",,HOJALMAR,Galletitas Hojalmar Larguitas De Hojaldre 150 Gr ,https://veaargentina.vtexassets.com/arquivos/ids/775721-500-auto?v=1769633745&width=500&height=auto&aspect=true
